General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted)
Mint Blockchain- grow the Superchain NFT economy,Grants Season 6,Cycle 28,Passed,250000,True,2024-11-18 00:00:00,0,2024-08-24 - 2025-02-10,0.5634,-8.5436,3.441691376337985e-14,3.44e-14,0.9634,-19.6252,0.0,0.00e+00,0.4172,-6.3363,7.271867774605312e-09,7.27e-09,0.6714,-13.8788,0.0,0.00e+00,-0.0646,0.2024,0.8398745668711314,0.8399,2.3808,-3.7449,0.0003354951400431627,0.0003,0.9817,-6.1344,6.054391432641637e-09,6.05e-09,6.8354,-17.6843,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1521,-4.5054,1.872862713492296e-05,1.87e-05,0.1338,-4.3589,3.3659553209330895e-05,3.37e-05,0.067,-1.2201,0.22416596060045646,0.2242,0.1032,-2.1359,0.03419171907545837,0.0342,0.1499,-1.1887,0.23626537467824327,0.2363,0.2417,-2.5082,0.013766767443785577,0.0138
Idle - Credit Vaults III,Grants Season 6,Cycle 28,Sent,140000,False,2024-09-01 00:00:00,140000,2024-06-01 - 2025-02-11,0.336,-4.2832,2.903413956678591e-05,2.90e-05,0.4278,-5.1746,5.919527250597412e-07,5.92e-07,1.5791,-2.5888,0.010489630743098388,0.0105,2.0589,-2.8546,0.004869132897734385,0.0049,2.9618,-2.4449,0.015540684233656288,0.0155,4.7184,-2.7057,0.0075414308038637135,0.0075,4.4306,-2.7829,0.005939756699369747,0.0059,39.3563,-3.4542,0.0007035163531077249,0.0007,2.7355,-10.4067,0.0,0.00e+00,5.1653,-12.3594,0.0,0.00e+00,-0.4639,12.3046,0.0,0.00e+00,11.5717,-13.9294,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3534,2.8878,0.004214176910255052,0.0042,-0.3469,4.7192,4.328622152938166e-06,4.33e-06
dForce on OP (Resubmission II),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-26 - 2025-02-11,5.557,-5.8151,2.0277362455800585e-08,2.03e-08,10.8958,-7.3264,1.0117462423409052e-11,1.01e-11,5.06,-6.687,1.7224088821876649e-10,1.72e-10,9.212,-8.5939,6.439293542825908e-15,6.44e-15,1.5679,-1.9301,0.054823758336541406,0.0548,1.8132,-3.4963,0.0006027336615090917,0.0006,,,,nan,,,,nan,,,,nan,,,,nan,1.0961,-5.1284,8.206145256650643e-07,8.21e-07,1.9348,-6.3739,1.626418555389364e-09,1.63e-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8512,0.9535,0.3437873221114005,0.3438,-0.639,3.1211,0.0020483808054039265,0.0020
Alchemix Grant Request,Grants Season 6,Cycle 28,Passed,50000,True,2024-12-17 00:00:00,0,2024-10-20 - 2025-02-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,-1.4272,0.15916145180426322,0.1592,,-1.4272,0.15916145180426322,0.1592,-0.7991,11.7159,0.0,0.00e+00,,-3.1062,0.0029955360153766097,0.0030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Toros Finance,Grants Season 6,Cycle 28,Sent,50000,False,2024-09-01 00:00:00,50000,2024-11-15 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Strands,Grants Season 6,Cycle 28,Passed,50000,False,2024-09-01 00:00:00,50000,2024-06-06 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Pyth Network: Infrastructure Subsidies,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-02 - 2025-02-11,,-1.4186,0.15793309652976784,0.1579,,-1.4186,0.15793309652976784,0.1579,,-1.4186,0.15793309652976784,0.1579,,-1.4186,0.15793309652976784,0.1579,,-1.0,0.3187927116965419,0.3188,,-1.0,0.3187927116965419,0.3188,,,,nan,,,,nan,1.0629,-1.8078,0.07234358426594034,0.0723,-1.0,-2.2231,0.02759616022894895,0.0276,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.3625,0.17491668170651864,0.1749,,-1.3625,0.17491668170651864,0.1749
Ionic Superchain Borrow/Lend Aggregator,Grants Season 6,Cycle 28,Passed,3000,False,2024-09-01 00:00:00,3000,2025-02-10 - 2025-02-11,,,,nan,,-1.0,0.49999999999999956,0.5000,,,,nan,,-1.0,0.49999999999999956,0.5000,,,,nan,,-1.0,0.49999999999999956,0.5000,,,,nan,,-1.0,0.49999999999999956,0.5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,-1.0,98.3462,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,-1.0,0.49999999999999956,0.5000
Pyth Network: Decentralized Solvers (Pyth Express Relay),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2025-01-28 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Kroma Intent 3B Grants Application,Grants Season 6,Cycle 28,Passed,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-02-10,0.4095,-1.8947,0.059294033762088194,0.0593,0.6734,-3.9062,0.0001217660367043294,0.0001,0.5006,-2.1182,0.03515121083677353,0.0352,1.9785,-6.9032,8.702460974063797e-11,8.70e-11,-0.7261,3.8304,0.00023023471301697462,0.0002,0.0249,-0.218,0.827669608169797,0.8277,-0.2285,1.1921,0.23436678639823483,0.2344,0.5065,-2.4842,0.01396267895737835,0.0140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1383,4.2098,3.581257032281293e-05,3.58e-05,0.079,-1.8623,0.06348327774088425,0.0635,-0.6619,5.7945,2.062033033212174e-08,2.06e-08,-0.6898,10.1246,0.0,0.00e+00,0.2501,-1.2947,0.19662597411958171,0.1966,-0.1894,2.286,0.023248216445024505,0.0232,-0.64,6.3307,1.1519991627295667e-09,1.15e-09,-0.6208,7.3951,5.083045095943817e-12,5.08e-12
Derive (Formerly Lyra) Chain - Intent 3B Take 2,Grants Season 6,Cycle 28,Passed,700000,False,2024-09-01 00:00:00,700000,2024-06-02 - 2025-02-10,-0.082,1.6672,0.09672500666335981,0.0967,-0.0716,1.9956,0.04682507181233264,0.0468,0.0623,-2.6356,0.008930789880635892,0.0089,0.018,-0.605,0.5456143727033305,0.5456,-0.4161,1.1857,0.23686299996187787,0.2369,1.6006,-1.7794,0.0770794007140867,0.0771,0.5498,-1.3583,0.1755911469066651,0.1756,128393002.3225,-5.8433,2.8094828463665067e-08,2.81e-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1392,-3.1768,0.0017007723181563517,0.0017,10.5536,-25.5103,0.0,0.00e+00,-0.1774,9.4763,0.0,0.00e+00,-0.1986,7.4649,8.060219158778636e-13,8.06e-13,-0.2217,11.3926,0.0,0.00e+00,-0.2277,8.3156,2.6645352591003757e-15,2.66e-15,-0.4618,1.4586,0.1480708134445825,0.1481,-0.2392,3.6314,0.00032841179617104643,0.0003
Polynomial Chain,Grants Season 6,Cycle 28,Passed,400000,False,2024-09-01 00:00:00,400000,2024-12-23 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Spearbit/Cantina for Balmy,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-06 - 2025-02-11,-0.1512,0.1683,0.8666663156330239,0.8667,1.1997,-1.272,0.20515844926858895,0.2052,0.5915,-0.5817,0.5613242925146473,0.5613,1.4132,-1.4557,0.14740332265204592,0.1474,-0.4695,0.456,0.6487794271017155,0.6488,0.7816,-0.4375,0.6623292853967031,0.6623,,,,nan,,,,nan,,,,nan,,,,nan,-0.0842,2.8729,0.004495950664713533,0.0045,0.0239,-0.579,0.562964492778053,0.5630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9602,1.1291,0.2619900831750277,0.2620,-1.0274,-5.6229,7.81134110727777e-08,7.81e-08
Autonomint Security Grant Application,Grants Season 6,Cycle 28,Passed,49500,False,2024-09-01 00:00:00,49500,2024-06-06 - 2025-02-11,1.3872,-0.942,0.34714093680836244,0.3471,7.7906,-1.9567,0.052083793540251166,0.0521,2.1829,-1.3443,0.18006918451751375,0.1801,12.0788,-2.2965,0.02291944402355406,0.0229,-0.4695,0.456,0.6487794271017155,0.6488,2.0794,-0.6743,0.5010932825832102,0.5011,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2422,0.2096,0.8341195846236309,0.8341,-1.0512,-9.6503,0.0,0.00e+00
Extra Finance Security Grant Application,Grants Season 6,Cycle 28,Passed,28850,False,2024-09-01 00:00:00,28850,2024-06-06 - 2025-02-11,1.6524,-1.0728,0.2844278495410162,0.2844,30.0341,-2.1907,0.02989475404837383,0.0299,2.7134,-1.458,0.14612895152254857,0.1461,10.3307,-2.1565,0.03250523842163866,0.0325,-0.4695,0.456,0.6487794271017155,0.6488,0.8512,-0.459,0.646813524092448,0.6468,,,,nan,,,,nan,,,,nan,,,,nan,0.1084,-3.3141,0.0010913509772321195,0.0011,0.1809,-4.3081,2.1844381012270375e-05,2.18e-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2363,0.2045,0.838126463976749,0.8381,-1.0536,-8.8593,2.220446049250313e-16,2.22e-16
Clusters.xyz,Grants Season 6,Cycle 28,Passed,35000,False,2024-09-01 00:00:00,35000,2024-06-06 - 2025-02-11,-0.1512,0.1683,0.8666663156330239,0.8667,1.7152,-1.4764,0.14174804419458065,0.1417,0.5915,-0.5817,0.5613242925146473,0.5613,3.2445,-1.9003,0.0591600347394321,0.0592,-0.4695,0.456,0.6487794271017155,0.6488,2.5052,-0.714,0.4762502236749908,0.4763,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9602,1.1291,0.2619900831750277,0.2620,-1.0161,-5.3953,2.3695374862242602e-07,2.37e-07
Alchemix Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,14741,False,2024-09-01 00:00:00,14741,2024-12-13 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Resolv Labs Security Grant Application,Grants Season 6,Cycle 28,Passed,31500,False,2024-09-01 00:00:00,31500,2024-06-06 - 2025-02-11,3.2439,-1.412,0.15934327647517232,0.1593,8.4877,-1.8353,0.06827767847167343,0.0683,4.3049,-1.7687,0.07833616982837821,0.0783,5.4144,-2.0176,0.04526998371839985,0.0453,0.061,-0.0418,0.96667616032478,0.9667,0.9846,-0.4959,0.6206608773835574,0.6207,,,,nan,,,,nan,,,,nan,,,,nan,8.4686,-8.3735,2.4424906541753444e-14,2.44e-14,12.1855,-8.6472,4.6629367034256575e-15,4.66e-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4963,-0.3016,0.7631772352682802,0.7632,-1.1035,-8.1545,7.771561172376096e-15,7.77e-15
QuantAMM Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,49600,False,2024-09-01 00:00:00,49600,2024-12-13 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
